iter	MultiClass
0	1.095527569
1	1.091193081
2	1.086940773
3	1.083268611
4	1.080856088
5	1.077200043
6	1.074676101
7	1.071581861
8	1.067592747
9	1.064853774
10	1.061333152
11	1.059158412
12	1.056360378
13	1.052673515
14	1.050109114
15	1.047257524
16	1.045184565
17	1.04014055
18	1.038153897
19	1.03494747
20	1.032486196
21	1.03009045
22	1.027500311
23	1.023095375
24	1.02169998
25	1.017633688
26	1.015665831
27	1.012983314
28	1.010007155
29	1.006643852
30	1.003496005
31	1.001909105
32	0.9999606511
33	0.9984107769
34	0.9951044233
35	0.9918444461
36	0.9883305605
37	0.9860773452
38	0.9827179698
39	0.9802910213
40	0.9776059292
41	0.9751362355
42	0.9724995571
43	0.9695922309
44	0.9675713554
45	0.9654372847
46	0.9631085087
47	0.9602639687
48	0.9581514855
49	0.9556235169
50	0.9519072459
51	0.9488088957
52	0.9462551829
53	0.9429744943
54	0.9403400004
55	0.938609692
56	0.9368669222
57	0.9350105378
58	0.9324939682
59	0.9303094378
60	0.9283474322
61	0.9266057539
62	0.9239758565
63	0.9216196342
64	0.9182800787
65	0.9163867847
66	0.9134500789
67	0.911828341
68	0.9097545774
69	0.9065746255
70	0.9045789267
71	0.9014808872
72	0.8998386685
73	0.8979187873
74	0.896599392
75	0.8950551489
76	0.8934086178
77	0.8921944446
78	0.8910497905
79	0.8895947592
80	0.8876804207
81	0.8854226134
82	0.8831341786
83	0.8813454345
84	0.8793515817
85	0.8779980947
86	0.876723497
87	0.8754288251
88	0.8742588257
89	0.8722017616
90	0.8698981709
91	0.8676773542
92	0.8647943816
93	0.8626753405
94	0.860631358
95	0.8594474247
96	0.8570259885
97	0.8549586754
98	0.8529013941
99	0.8502989115
100	0.8484599588
101	0.8464197996
102	0.8431994128
103	0.842263193
104	0.8406383456
105	0.8381511604
106	0.8363359476
107	0.8335007461
108	0.8317455546
109	0.829068037
110	0.8261380646
111	0.8245617049
112	0.8224769413
113	0.8207198695
114	0.8190885216
115	0.8164735874
116	0.8141633804
117	0.81167036
118	0.80897813
119	0.8068555721
120	0.8050106767
121	0.8026100824
122	0.8015068075
123	0.7989043626
124	0.7975870004
125	0.7944555562
126	0.7929721495
127	0.7898946352
128	0.7880335698
129	0.7861922852
130	0.78402315
131	0.7820247046
132	0.781057732
133	0.7790043995
134	0.7771794496
135	0.7754893973
136	0.7728928705
137	0.7712370432
138	0.7691875412
139	0.7665142978
140	0.7646126441
141	0.7623081202
142	0.759466998
143	0.7570738038
144	0.7545013208
145	0.7517709112
146	0.7502192813
147	0.7486718738
148	0.7471373988
149	0.7451335338
150	0.7431949179
151	0.741394894
152	0.7394017567
153	0.738163781
154	0.7358748315
155	0.7339726964
156	0.7325995276
157	0.7307699556
158	0.7289843434
159	0.7273206739
160	0.7257854505
161	0.7238977084
162	0.7222897321
163	0.7201690503
164	0.7173601834
165	0.7151815235
166	0.7133711719
167	0.7114600038
168	0.7099543946
169	0.7087104571
170	0.7063638948
